Title,Interviewer,Content
Cracks in the Oracle Bone: Teaching Certain Contemporary Poems,Interviewer Not Found,"I’m thrilled to be presenting a lecture honoring Judith Stronach to many colleagues and friends, and I’m grateful to Ray for publishing this series of lectures by poets—I feel fortunate... Even at this late-postmodernist moment, when self-defined innovative poetry needs to build on a long tradition of previous self-defined innovative poetry, such poetry still defines itself inoppositionto tradition.... In May 1998, the critic Michael Brenson organized a symposium at the Rockefeller Foundation in New York at which a number of people in the arts were asked to consider... Performanceis a bothersome word for writerly poets. Performance art, poetry slams, and the like have made the term synonymous with theatricality, a recourse to dramatic, declamatory, and other tactics... The society whose modernization has reached the stage of integrated spectacle is characterized by the combined effect of five principal factors: incessant technological renewal, integration of state and economy, generalized... Speech is the effective form of a culture. Any shape or cluster of human history still apparent in the conscious and unconscious habit of groups of people is what I... A DIALOGUE."
Kimiko Hahn,ByArthur Sze,"Arthur Sze is a poet, a translator, and an editor. He is the author of 11 books of poetry, includingThe Glass Constellation: New and Collected Poems(Copper Canyon Press, 2021);Sight Lines(2019), which won the National Book Award for Poetry;Compass Rose(2014), a Pulitzer Prize finalist;The Ginkgo Light(2009), selected... Kimiko Hahn is the author of 10 books of poetry, includingForeign Bodies(W. W. Norton, 2020);Brain Fever(Norton, 2014);Toxic Flora(Norton, 2010);The Narrow Road to the... A collection of poets and articles exploring Asian American culture Italian poet and scholar Dante Alighieri is best known for his masterpieceLa Commedia(known in English asThe Divine Comedy), which is universally considered one of world literature’s greatest... The 17th-century Japanese haiku master Bashō was born Matsuo Kinsaku near Kyoto, Japan, to a minor samurai and his wife. Soon after the poet’s birth, Japan closed its borders, beginning... Elizabeth Bishop was born in 1911 in Worcester, Massachusetts and grew up there and in Nova Scotia. Her father died before she was a year old and her mother suffered... Emily Dickinson is one of America’s greatest and most original poets of all time. She took definition as her province and challenged the existing definitions of poetry and the poet’s work.... Since the publication of his first volume of verse,Turtle, Swan,in 1987, Mark Doty has been recognized as one of the most accomplished poets in America. Hailed for his... The 1948 winner of the Nobel Prize in Literature, T.S. Eliot is highly distinguished as a poet, a literary critic, a dramatist, an editor, and a publisher. In 1910 and... This is a poem on my other’s body,I mean, my mother’s body, I mean the onewho saved her braid of blue-black hairin a drawer when I was little.Meaning one I could lean against —against not in resistance. Fuzzy dressof wuzzy one.... Louise Glück was born in New York City in 1943 and grew up on Long Island. She attended Sarah Lawrence College and Columbia University. Considered by many to be one... Poet, novelist, playwright, and multimedia artist Jessica Hagedorn was raised and lived in the Philippines until she moved to San Francisco in her teens. She is the author of five books,... Gerard Manley Hopkins is considered to be one of the greatest poets of the Victorian era. However, because his style was so radically different from that of his contemporaries, his... Kimiko Hahn joins Danez and Franny as they go down some rabbit holes, and maybe even through a few portals. They talk her tenth book, poetic auntie status, Japanese poetry... Rudyard Kipling is one of the best-known of the late Victorian poets and story-tellers. Although he was awarded the Nobel Prize for literature in 1907, his political views, which grew... Recognizing poets for achievement in craft, criticism, and service to the literary arts. My father, as a boy in Milwaukee, thoughtthe cicada's cry was the whir from a live wire--not from muscles on the sides of an insectvibrating against an outer membrane. Strange thoughthat, because they have no ears, no one knows whythe... Kimiko Hahn on tie-dying on the stove, puns, and her father's things. William Carlos Williams was born the first of two sons of an English father and a Puerto Rican mother of French, Dutch, Spanish, and Jewish ancestry, and he grew up..."
Kimiko Hahn,ByArthur Sze,"Arthur Sze is a poet, a translator, and an editor. He is the author of 11 books of poetry, includingThe Glass Constellation: New and Collected Poems(Copper Canyon Press, 2021);Sight Lines(2019), which won the National Book Award for Poetry;Compass Rose(2014), a Pulitzer Prize finalist;The Ginkgo Light(2009), selected... Kimiko Hahn is the author of 10 books of poetry, includingForeign Bodies(W. W. Norton, 2020);Brain Fever(Norton, 2014);Toxic Flora(Norton, 2010);The Narrow Road to the... A collection of poets and articles exploring Asian American culture Italian poet and scholar Dante Alighieri is best known for his masterpieceLa Commedia(known in English asThe Divine Comedy), which is universally considered one of world literature’s greatest... The 17th-century Japanese haiku master Bashō was born Matsuo Kinsaku near Kyoto, Japan, to a minor samurai and his wife. Soon after the poet’s birth, Japan closed its borders, beginning... Elizabeth Bishop was born in 1911 in Worcester, Massachusetts and grew up there and in Nova Scotia. Her father died before she was a year old and her mother suffered... Emily Dickinson is one of America’s greatest and most original poets of all time. She took definition as her province and challenged the existing definitions of poetry and the poet’s work.... Since the publication of his first volume of verse,Turtle, Swan,in 1987, Mark Doty has been recognized as one of the most accomplished poets in America. Hailed for his... The 1948 winner of the Nobel Prize in Literature, T.S. Eliot is highly distinguished as a poet, a literary critic, a dramatist, an editor, and a publisher. In 1910 and... This is a poem on my other’s body,I mean, my mother’s body, I mean the onewho saved her braid of blue-black hairin a drawer when I was little.Meaning one I could lean against —against not in resistance. Fuzzy dressof wuzzy one.... Louise Glück was born in New York City in 1943 and grew up on Long Island. She attended Sarah Lawrence College and Columbia University. Considered by many to be one... Poet, novelist, playwright, and multimedia artist Jessica Hagedorn was raised and lived in the Philippines until she moved to San Francisco in her teens. She is the author of five books,... Gerard Manley Hopkins is considered to be one of the greatest poets of the Victorian era. However, because his style was so radically different from that of his contemporaries, his... Kimiko Hahn joins Danez and Franny as they go down some rabbit holes, and maybe even through a few portals. They talk her tenth book, poetic auntie status, Japanese poetry... Rudyard Kipling is one of the best-known of the late Victorian poets and story-tellers. Although he was awarded the Nobel Prize for literature in 1907, his political views, which grew... Recognizing poets for achievement in craft, criticism, and service to the literary arts. My father, as a boy in Milwaukee, thoughtthe cicada's cry was the whir from a live wire--not from muscles on the sides of an insectvibrating against an outer membrane. Strange thoughthat, because they have no ears, no one knows whythe... Kimiko Hahn on tie-dying on the stove, puns, and her father's things. William Carlos Williams was born the first of two sons of an English father and a Puerto Rican mother of French, Dutch, Spanish, and Jewish ancestry, and he grew up..."
Ovid,ByLily Meyer,"Lily Meyer is a writer, translator, and critic. Her translations include Claudia Ulloa Donoso’s story collectionsLittle Bird(Deep Vellum, 2021) andIce for Martians(Sundial House, 2022). Her first novel,Short War, is forthcoming from A Strange Object in 2024. Her short fiction has appeared inCatapult, theDrift, theMasters Review, theSewanee Review,... Publius Ovidius Naso, known as Ovid, was born in Sulmo, Italy on March 20, 43 BCE. Considered to be one of the most influential poets in Western literary tradition, Ovid wrote several important... A literary critic, translator, biographer, and editor, Horace Gregory was born in Milwaukee, Wisconsin, and lived in New York for many years. His poetry collections includeChelsea Rooming House(1930);... Not much is known about Homer, or if he even existed, but he is culturally conjured as a blind Greek oral poet who lived in either 9th or 8th century... Horace (Quintus Horatius Flaccus) was a Roman poet, satirist, and critic. Born in Venusia in southeast Italy in 65 BCE to an Italian freedman and landowner, he was sent to... Poet, critic, and editor Rolfe Humphries was born in Philadelphia in 1894. He earned a BA at Amherst College and was a mentor to poet Theodore Roethke and friends with... Philip Larkin was born in Coventry, England in 1922. He earned his BA from St. John’s College, Oxford, where he befriended novelist and poet Kingsley Amis and finished with First... ""When a single day brings the world to destruction, only then will the poetry of the sublime Lucretius pass away."" This judgment by the Roman poet Ovid , written in... Majesty is incompatible truly with love; they cohabitNowhere together. The father and chief of the gods, whose right hand isArmed with the triple-forked lightning, who shakes the whole world with a nod, laidDignity down with his sceptre, adopting the guise... Publius Vergilius Maro was a classical Roman poet, best known for three major works—theBucolics(orEclogues), theGeorgics, and theAeneid—although several minor poems are also attributed to him...."
Ovid,ByLily Meyer,"Lily Meyer is a writer, translator, and critic. Her translations include Claudia Ulloa Donoso’s story collectionsLittle Bird(Deep Vellum, 2021) andIce for Martians(Sundial House, 2022). Her first novel,Short War, is forthcoming from A Strange Object in 2024. Her short fiction has appeared inCatapult, theDrift, theMasters Review, theSewanee Review,... Publius Ovidius Naso, known as Ovid, was born in Sulmo, Italy on March 20, 43 BCE. Considered to be one of the most influential poets in Western literary tradition, Ovid wrote several important... A literary critic, translator, biographer, and editor, Horace Gregory was born in Milwaukee, Wisconsin, and lived in New York for many years. His poetry collections includeChelsea Rooming House(1930);... Not much is known about Homer, or if he even existed, but he is culturally conjured as a blind Greek oral poet who lived in either 9th or 8th century... Horace (Quintus Horatius Flaccus) was a Roman poet, satirist, and critic. Born in Venusia in southeast Italy in 65 BCE to an Italian freedman and landowner, he was sent to... Poet, critic, and editor Rolfe Humphries was born in Philadelphia in 1894. He earned a BA at Amherst College and was a mentor to poet Theodore Roethke and friends with... Philip Larkin was born in Coventry, England in 1922. He earned his BA from St. John’s College, Oxford, where he befriended novelist and poet Kingsley Amis and finished with First... ""When a single day brings the world to destruction, only then will the poetry of the sublime Lucretius pass away."" This judgment by the Roman poet Ovid , written in... Majesty is incompatible truly with love; they cohabitNowhere together. The father and chief of the gods, whose right hand isArmed with the triple-forked lightning, who shakes the whole world with a nod, laidDignity down with his sceptre, adopting the guise... Publius Vergilius Maro was a classical Roman poet, best known for three major works—theBucolics(orEclogues), theGeorgics, and theAeneid—although several minor poems are also attributed to him...."
John Lee Clark,ByRachel Kolb,"Rachel Kolb is a Deaf writer, scholar, and advocate. She is a junior fellow in the Society of Fellows at Harvard University. John Lee Clark is a DeafBlind poet, essayist, and independent scholar from Minnesota. His chapbook of poems,Suddenly Slow, appeared in 2008. He has edited two anthologies,Deaf American Poetry... Each month we feature a guest post from a contributor toPoetry’s current issue. Noah Buchholz is professor of American Sign Language and Deaf Studies at Bethel College in Indiana. He is a Certified Deaf Interpreter and travels internationally performing and presenting about Deaf culture... An Exchange The Friend wriggled out and stood, a smiling tree, his shimmering head turning left and right. A person came along and looked up and said, “Who are you?” The Friend said, “Come on, get a buzz. It’s awesome!” The person... John Maucere has appeared onLaw & Order,Brand New Life,Pacific Blue, andSwitched at Birthand is the starring character in his web-based productionSuperdeafy. That night the moon rosein the window. Its lighttouched the pane and spreadover the floor. The girlsclimbed out of their bedsand gathered in the glow,where their hands came alive.Their chatter filled their chestswith such gladness it flowedout past the sentry... Guide, passion, catch whatHath no speech. UnknownJoys, power, and meditation’sUnfolding sky. Feeling drawsHeart and wildering languageStill without speech toMind. Philosophy fails toSway this future child. A DeafBlind poet on art he can touch."
John Lee Clark,ByRachel Kolb,"Rachel Kolb is a Deaf writer, scholar, and advocate. She is a junior fellow in the Society of Fellows at Harvard University. John Lee Clark is a DeafBlind poet, essayist, and independent scholar from Minnesota. His chapbook of poems,Suddenly Slow, appeared in 2008. He has edited two anthologies,Deaf American Poetry... Each month we feature a guest post from a contributor toPoetry’s current issue. Noah Buchholz is professor of American Sign Language and Deaf Studies at Bethel College in Indiana. He is a Certified Deaf Interpreter and travels internationally performing and presenting about Deaf culture... An Exchange The Friend wriggled out and stood, a smiling tree, his shimmering head turning left and right. A person came along and looked up and said, “Who are you?” The Friend said, “Come on, get a buzz. It’s awesome!” The person... John Maucere has appeared onLaw & Order,Brand New Life,Pacific Blue, andSwitched at Birthand is the starring character in his web-based productionSuperdeafy. That night the moon rosein the window. Its lighttouched the pane and spreadover the floor. The girlsclimbed out of their bedsand gathered in the glow,where their hands came alive.Their chatter filled their chestswith such gladness it flowedout past the sentry... Guide, passion, catch whatHath no speech. UnknownJoys, power, and meditation’sUnfolding sky. Feeling drawsHeart and wildering languageStill without speech toMind. Philosophy fails toSway this future child. A DeafBlind poet on art he can touch."
Will Alexander,ByJenna Peng,"Jenna Peng is a reader forPoetrymagazine, associate editor of theAsian American Literary Review,and an organizer for the Smithsonian Asian American Literature Festival. She writes hybrid literary/arts criticism and occupies Shawandasse Tula territory (Pittsburgh). Writer, artist, philosopher, and pianist Will Alexander was born in Los Angeles, California in 1948 and has remained a lifetime resident of the city. He earned a BA in English... Irish playwright, novelist, and poet Samuel Beckett was a literary legend of the 20th century. Born in Dublin, Ireland, in 1906, he was educated at Trinity College. During the 1930s... Will Alexander’sTheCombustion Cyclecombines surrealism and the Black tradition in a visionary ecological text. Because the Sun exudes a blaze of riddlesthere exists a haze of optimal osmosisof protracted helium that bendsvia its forceless gruelvia its maniacal translocationto alien ravinesto other planes & possibilities anterior to the sense of chronicle as uninhabited or pure activity The life of Martinican author Aimé Césaire spans the 20th century and its anticolonial movements. He was not only responsible forCahier d’un retour au pays natal(first published in... Blaze as unknowable driftas mathematical drift that blazes with ciphersI’ve listened to moons eclectically riseto conundrums blaze & ascendnot as moleculesor distributed torrentsbut as vibrational mazesas curious oneiric cartography Sandstonecarved by elements prone to the Tethys Seaas they carved exploded & asphyxiatedalive with water that both burned & etchedas primordiumthat explodedthat dictated itselfvia primordial grammesto what seems via delimited viewLuciferean & unrulycarving minerals & minerals of rock as hallucinated... Since the living body persistsas strange accelerated crimsonwhat of its post-biology through ideas through ghostly bonding with itself as kinetic?does it persist within its after-state via chewn reindeer?or does it unearth itself via postmortem figment?because kinetics reabsorb themselvesthey remain trenchantas certain... Will Alexander finds ways of writing poems to revitalize language as a whole. Produced by Katie Klocksin. By Will Alexander Implied inner palpability as transpersonal dictationall works composed as a musical arkas if rowing in an isthmus of lightningthe threat through rising vapour currentshissing with dissolutionthis being none other than internal cartographyghostly cipher as interiority by numberagain ghostly flares &... Surrealist poet Philip Lamantia was born in San Francisco in 1927, the son of Sicilian immigrants. Largely self-taught, he started writing in elementary school and became interested in surrealism after... Jenna Peng Interviews Will Alexander Understanding displacementas verbal working valueas unusual breakagethe poem appears beyond protracted strugglebeyond reinvention as demandits evolutive element ascends as blazingas illusive verbal utopiaabove angst as scholarly researchas clinical bravuravia electrical power prone to unexpected magnificationits marrowits bravuraextending out of nothingnesssimultaneous... A continentthat has made a covenant with its own ruinhas made the skies starvedhas made stone momentarily disadvantage itselfIts circumstance deeper than tremors remains equational habit miming itselfvia counted tablets of timenot a mantric blizzard of space into empty airbut every... Fred Moten is a professor of performance studies and comparative literature at New York University concerned with social movement, aesthetic experiment, and Black study. He has written a number of... Mexican author Octavio Paz enjoyed a worldwide reputation as a master poet and essayist. Although Mexico figures prominently in Paz’s work—one of his best-known books,The Labyrinth of Solitude,for... Not having imbibed Ghosts or dust or forces that condone objective terminationI remain as peripheral terminology not unlike the paradoxical swelteringthat erupts from one’s grasppre-cellular in origin Poet Fernando António Nogueira Pêssoa was born in Lisbon, Portugal. His father died when Pessoa was five years old, and the family moved with his mother’s new husband, a consul,... The impact of Arthur Rimbaud’s poetry has been immense. His influence on the Surrealist movement has been widely acknowledged, and a host of poets, from André Breton to André Freynaud,... Hosted by Al Filreis and featuring Kristen Gallagher, Tracie Morris, and Michael Magee."
Will Alexander,ByJenna Peng,"Jenna Peng is a reader forPoetrymagazine, associate editor of theAsian American Literary Review,and an organizer for the Smithsonian Asian American Literature Festival. She writes hybrid literary/arts criticism and occupies Shawandasse Tula territory (Pittsburgh). Writer, artist, philosopher, and pianist Will Alexander was born in Los Angeles, California in 1948 and has remained a lifetime resident of the city. He earned a BA in English... Irish playwright, novelist, and poet Samuel Beckett was a literary legend of the 20th century. Born in Dublin, Ireland, in 1906, he was educated at Trinity College. During the 1930s... Will Alexander’sTheCombustion Cyclecombines surrealism and the Black tradition in a visionary ecological text. Because the Sun exudes a blaze of riddlesthere exists a haze of optimal osmosisof protracted helium that bendsvia its forceless gruelvia its maniacal translocationto alien ravinesto other planes & possibilities anterior to the sense of chronicle as uninhabited or pure activity The life of Martinican author Aimé Césaire spans the 20th century and its anticolonial movements. He was not only responsible forCahier d’un retour au pays natal(first published in... Blaze as unknowable driftas mathematical drift that blazes with ciphersI’ve listened to moons eclectically riseto conundrums blaze & ascendnot as moleculesor distributed torrentsbut as vibrational mazesas curious oneiric cartography Sandstonecarved by elements prone to the Tethys Seaas they carved exploded & asphyxiatedalive with water that both burned & etchedas primordiumthat explodedthat dictated itselfvia primordial grammesto what seems via delimited viewLuciferean & unrulycarving minerals & minerals of rock as hallucinated... Since the living body persistsas strange accelerated crimsonwhat of its post-biology through ideas through ghostly bonding with itself as kinetic?does it persist within its after-state via chewn reindeer?or does it unearth itself via postmortem figment?because kinetics reabsorb themselvesthey remain trenchantas certain... Will Alexander finds ways of writing poems to revitalize language as a whole. Produced by Katie Klocksin. By Will Alexander Implied inner palpability as transpersonal dictationall works composed as a musical arkas if rowing in an isthmus of lightningthe threat through rising vapour currentshissing with dissolutionthis being none other than internal cartographyghostly cipher as interiority by numberagain ghostly flares &... Surrealist poet Philip Lamantia was born in San Francisco in 1927, the son of Sicilian immigrants. Largely self-taught, he started writing in elementary school and became interested in surrealism after... Jenna Peng Interviews Will Alexander Understanding displacementas verbal working valueas unusual breakagethe poem appears beyond protracted strugglebeyond reinvention as demandits evolutive element ascends as blazingas illusive verbal utopiaabove angst as scholarly researchas clinical bravuravia electrical power prone to unexpected magnificationits marrowits bravuraextending out of nothingnesssimultaneous... A continentthat has made a covenant with its own ruinhas made the skies starvedhas made stone momentarily disadvantage itselfIts circumstance deeper than tremors remains equational habit miming itselfvia counted tablets of timenot a mantric blizzard of space into empty airbut every... Fred Moten is a professor of performance studies and comparative literature at New York University concerned with social movement, aesthetic experiment, and Black study. He has written a number of... Mexican author Octavio Paz enjoyed a worldwide reputation as a master poet and essayist. Although Mexico figures prominently in Paz’s work—one of his best-known books,The Labyrinth of Solitude,for... Not having imbibed Ghosts or dust or forces that condone objective terminationI remain as peripheral terminology not unlike the paradoxical swelteringthat erupts from one’s grasppre-cellular in origin Poet Fernando António Nogueira Pêssoa was born in Lisbon, Portugal. His father died when Pessoa was five years old, and the family moved with his mother’s new husband, a consul,... The impact of Arthur Rimbaud’s poetry has been immense. His influence on the Surrealist movement has been widely acknowledged, and a host of poets, from André Breton to André Freynaud,... Hosted by Al Filreis and featuring Kristen Gallagher, Tracie Morris, and Michael Magee."
Courtney Faye Taylor,ByAmaud Jamaul Johnson,"Born and raised in Compton, California, poet Amaud Jamaul Johnson was educated at Howard University and Cornell. His debut collection,Red Summer(2006), examines the infamous race riots of 1919, during which nearly a hundred African American men in cities across the country were lynched. The book won the 2004... Courtney Faye Taylor (she/her) is a writer and visual artist. She is the author ofConcentrate(Graywolf Press, 2022), winner of the 2021 Cave Canem Poetry Prize and the 2023... On today’s episode ofVS, Brittany and Ajanae interview Courtney Faye Taylor about their award winning collectionConcentrate. Listen in as they discuss writing with an ethic of care, studying... Rachel Eliza Griffiths is a multimedia artist, poet, and novelist. Her collection of poetry and photographySeeing the Body(W.W. Norton, 2020) was selected as the winner of the 2021...  Kamilah Aisha Moon was the author of the poetry collectionsStarshine & Clay(2017), a CLMP Firecracker Award finalist featured on NPR's ""All Things Considered"" as a collection that captures America... Poet, essayist, and novelist Alice Walker was born in 1944, in Eatonton, Georgia, to sharecroppers Willie Lee and Minnie Lou Grant Walker. She earned a BA from Sarah Lawrence College...."
Courtney Faye Taylor,ByAmaud Jamaul Johnson,"Born and raised in Compton, California, poet Amaud Jamaul Johnson was educated at Howard University and Cornell. His debut collection,Red Summer(2006), examines the infamous race riots of 1919, during which nearly a hundred African American men in cities across the country were lynched. The book won the 2004... Courtney Faye Taylor (she/her) is a writer and visual artist. She is the author ofConcentrate(Graywolf Press, 2022), winner of the 2021 Cave Canem Poetry Prize and the 2023... On today’s episode ofVS, Brittany and Ajanae interview Courtney Faye Taylor about their award winning collectionConcentrate. Listen in as they discuss writing with an ethic of care, studying... Rachel Eliza Griffiths is a multimedia artist, poet, and novelist. Her collection of poetry and photographySeeing the Body(W.W. Norton, 2020) was selected as the winner of the 2021...  Kamilah Aisha Moon was the author of the poetry collectionsStarshine & Clay(2017), a CLMP Firecracker Award finalist featured on NPR's ""All Things Considered"" as a collection that captures America... Poet, essayist, and novelist Alice Walker was born in 1944, in Eatonton, Georgia, to sharecroppers Willie Lee and Minnie Lou Grant Walker. She earned a BA from Sarah Lawrence College...."
